rendszam	tulajdonos	cim	marka	tipus	szin	motorcm3	forgalomba	megjegyzes	katalizator
AAR327	Balogh Gyula	2600 Vác Szent Imre u. 3.	Opel	Corsa	fehér	1100	1999.03.06 0:00		1
ABC153	Kiss Pál	1231 Budapest Szép u. 8.	Lada	Samara	fehér	1300	1990.05.08 0:00		0
ADG987	Szép István	6200 Kiskőrös Patak u. 9.	Renault	Meganne	zöld	1400	1996.12.20 0:00		1
AHK321	Czikk Imre	1062 Budapest Teréz krt.164.	Suzuki	Maruti	fehér	900	1999.07.12 0:00		1
BBD945	Sápi Aladár	8360 Keszthely Deák út 10.	Suzuki	Swift	kék	1200	1996.08.05 0:00		1
BDY344	Kiss Margit	1203 Budapest Ady Endre út 106.	Opel	Omega	fekete	2000	1994.10.14 0:00		1
BFG912	Darab Béla	1213 Budapest Keleti u.14.	Trabant	601	szürke	800	1996.12.04 0:00		0
CGN349	Orosházy Tamás	1051 Budapest Semmelweis u. 5.	Fiat	Brava	piros	1600	1995.07.11 0:00		1
CGU098	Rab Zsolt	1024 Budapest Csatár u. 8.	Mercedes	320SE	fehér	2000	1988.07.19 0:00	körözés alatt	1
CNH875	Fáy Tibor	2030 Budaörs Csap u. 34.	Citroen	Saxo	kék	1100	1995.07.29 0:00		1
DRT429	Láng András	1058 Budapest Petőfi Sándor u. 28.	Opel	Corsa	lila	1100	1995.12.24 0:00		1
DTC239	Vass Gábor	1141 Budapest Fogarasi út 84.	Ford	Escort	fehér	1500	1994.08.12 0:00		1
EVK483	Kiss Tamás	9023 Győr Bécsi u. 145.	Ford	Orion	zöld	1000	1999.04.06 0:00		1
EYU482	Kis László	2220 Vecsés Szív u. 65.	Suzuki	Swift	zöld	1300	1999.10.16 0:00		1
FAB793	Nagy Éva	2117 Isaszeg Fehérvári út. 124. III/2.	Lada	2107	kék	1500	1988.06.22 0:00		0
GCK346	Som Attila	8229 Csopak Victor Hugo u.123.	Daewoo	Lanos	sötétkék	1400	1998.02.15 0:00		1
GRK854	Csorba Antal	1038 Budapest Flórián tér 16.	Lada	2105	krém	1300	1999.11.11 0:00	sérült	1
GTD903	Somos Róbert	7400 Kaposvár Petőfi S. u.17.	Opel	Astra	kék	1400	1995.12.20 0:00		1
HTF723	Kiss Magda	1058 Budapest Múzeum krt. 11.	VW	Polo Classic	narancs	1500	1997.02.08 0:00		0
IBC942	Sas Endre	7400 Kaposvár Vámház u. 46.	Lada	2107	narancssárga	1600	1988.11.12 0:00		0
IHK678	Hámori Barna	1064 Budapest Cirmos sétány 3. I.12.	Suzuki	Swift	zöld	1100	1998.03.18 0:00		1
JBF018	Gál Péter	1113 Budapest Boldizsár u. 45.	Mitsubishi	Pajero	zöld	2500	1998.12.07 0:00		1
JJY428	Gyáli Zoltán	1024 Budapest Törökvész u.13	Volvo	S40	ezüst	2500	1998.05.07 0:00		1
KBI643	Gábor Sándor	8230 Balatonfüred Erzsébet tér 6.	Opel	Corsa	kék	1100	1993.06.09 0:00		1
